Name,Longitude,Latitude
node12,-87.63254534,41.89206546
node13,-87.6326952,41.89900392
node14,-87.63284506,41.90594238
node15,-87.63299492,41.91288084
node16,-87.63292587,41.91295695
node17,-87.63183766,41.91356407
node18,-87.63185946,41.91400571
node19,-87.63204293,41.91436602
node20,-87.6327948,41.91521999
node21,-87.63306455,41.91573448
node22,-87.63377816,41.91660249
node23,-87.63412194,41.91709721
node24,-87.63462476,41.91888994
node25,-87.6349182,41.91934042
node26,-87.63540049,41.91990391
node27,-87.63559226,41.92038613
node27,-87.63559226,41.92038613
node28,-87.635857,41.92451377
node29,-87.63595372,41.9256656
node30,-87.63382482,41.92584429
node31,-87.63380623,41.92593168
node32,-87.63475921,41.92763803
node33,-87.63507144,41.92815964
node34,-87.63644677,41.93014045
node35,-87.63752224,41.93149596
node36,-87.63872956,41.93240483
