Name,Longitude,Latitude
node27,-87.63559226,41.92038613
node28,-87.635857,41.92451377
node29,-87.63595372,41.9256656
node30,-87.63382482,41.92584429
node31,-87.63380623,41.92593168
node32,-87.63475921,41.92763803
node33,-87.63507144,41.92815964
node34,-87.63644677,41.93014045
node35,-87.63752224,41.93149596
node36,-87.63872956,41.93240483
node37,-87.63912366,41.9327572
node38,-87.63926703,41.93305734
node39,-87.63943498,41.93720384
node40,-87.63960293,41.94135035
node41,-87.64070036,41.94368593
node42,-87.64346281,41.94854802
node43,-87.64717195,41.9472854
node44,-87.64624386,41.94568272
node45,-87.64451721,41.9427039
node46,-87.64440594,41.93860344
node47,-87.64429466,41.93450298
node48,-87.64463436,41.93375998
node49,-87.64489477,41.93291633
node50,-87.6448795,41.93253439
node51,-87.64460227,41.93189267
node52,-87.64358147,41.93019054
node53,-87.64293708,41.92962999
node54,-87.640665,41.92583136
node55,-87.63839292,41.92203274
node56,-87.63897277,41.92197939
node57,-87.63886541,41.91944372
node58,-87.63872573,41.9152885
node59,-87.63858605,41.91113329
node60,-87.63475959,41.9110904
node61,-87.63452895,41.90406866
node62,-87.63429831,41.89704692
node63,-87.63406767,41.89002519
node64,-87.63691727,41.88990089
node65,-87.63689996,41.88901796
node66,-87.63685873,41.88874475
node67,-87.63551613,41.88701762
node68,-87.6352989,41.87942395
