Number,lat,lon
1, 41.8806822, -87.6242154
2, 41.8725376, -87.6247331
3, 41.8806123, -87.6268817
4, 41.8661733, -87.6169862
5, 41.8808888, -87.6207733
6, 41.8757363, -87.6242494
7, 41.8820950, -87.6243246
8, 41.8641917, -87.6169646
