Name,Latitude,Longitude
h1,41.88094,-87.62069
h2,41.88102000000001,-87.62069
h3,41.88114,-87.6207
h4,41.88147,-87.62069
h5,41.88157,-87.62068
h6,41.88177,-87.62066
h7,41.88191,-87.62063
h8,41.88197000000001,-87.62061
h9,41.88206,-87.6206
h10,41.88226,-87.62057
h11,41.88251,-87.62054
h12,41.88264,-87.62052
h13,41.88274,-87.62052
h14,41.88276,-87.62052
h15,41.88282,-87.62052
h16,41.88304,-87.62051
h17,41.88331,-87.62053
h18,41.88367,-87.62054
h19,41.88389,-87.62055
h20,41.8842,-87.62057
h21,41.88426,-87.62057
h22,41.8843,-87.62057
h23,41.88431,-87.62057
h24,41.88436,-87.62057
h25,41.88439,-87.62057
h26,41.88446,-87.62057
h27,41.88463,-87.62057
h28,41.88548000000001,-87.62058000000002
h29,41.88584,-87.62058000000002
h30,41.88587,-87.62058000000002
h31,41.88594,-87.62061
h32,41.88602,-87.62061
h33,41.88603,-87.62061
h64,41.88832,-87.62048
h65,41.88871,-87.62042
h66,41.88884,-87.62039
h67,41.88925,-87.62036
h68,41.88929,-87.62036
h69,41.88943,-87.62034
h70,41.88955,-87.62031
h71,41.88962,-87.6203
h72,41.8897,-87.62029
h73,41.8902,-87.62018
h74,41.890640000000005,-87.62013
h75,41.89101,-87.62012
h76,41.89121,-87.62022
h77,41.891290000000005,-87.62022
h78,41.891420000000004,-87.62022
h79,41.89181,-87.62022
h80,41.89177,-87.62267
h81,41.89175,-87.62372
h82,41.89175,-87.62386
h83,41.89174,-87.62409
h84,41.89174,-87.62417
