raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished,drops
76,2300,0,2450,3700,3950,2620,10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10280,0,1028,35.0
78,2300,0,1670,3740,4040,2910,10640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10640,0,1064,35.0
80,2300,0,880,3860,4050,3220,10990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10990,0,1099,35.0
82,2300,0,470,3630,4060,3390,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11450,0,1145,35.0
84,2300,0,160,3360,3880,3560,12040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12040,0,1204,35.0
86,2300,0,50,2880,3820,3370,12880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12880,0,1288,35.0
88,2300,0,10,2230,3720,3580,13460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13460,0,1346,35.0
90,2300,0,10,1630,3670,3720,13970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13970,0,1397,35.0
92,2300,0,0,1100,3580,3630,14690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14690,0,1469,35.0
94,2300,0,0,680,3320,3770,15230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15230,0,1523,35.0
96,2300,0,0,430,2990,3610,15970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15970,0,1597,35.0
98,2300,0,0,180,2670,3540,16610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16610,0,1661,35.0
100,2300,0,0,100,2140,3500,17260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17260,0,1726,35.0
